# EvtID pe_px[MeV/c] pe_py[MeV/c] pe_pz[MeV/c] prec_px[MeV/c] prec_py[MeV/c] prec_pz[MeV/c] pidrec zvtx[cm] weight
151 -7.4777131450e+01 -9.8339151198e+02 4.0213041979e+03 3.1541674740e+02 -3.9343330308e+01 -1.6926901429e+01 2212 -1.3765593078e+00 1.2199047351e+01
213 -1.3600502461e+02 -8.7733993586e+02 4.0433099735e+03 2.3561621047e+02 -6.9899536034e+01 -4.1116069401e+02 2212 -1.1340418686e+00 6.4794417746e-02
496 -3.1333330767e+02 -1.1166078231e+03 4.5482648730e+03 2.8401815072e+01 -4.2435396847e+00 -3.0275323003e+02 2212 -2.1715484462e+00 8.7511355693e-01
633 -3.7058613924e+00 -9.2712334301e+02 4.2670002217e+03 3.4899720702e+02 -1.1271735464e+02 -2.3909990190e+02 2212 -5.3672696727e+00 1.3238109777e+00
930 -2.0122305951e+02 -1.0862855908e+03 4.7778909707e+03 6.6356918248e+01 -1.7974691920e+01 -4.6637867750e+02 2212 -4.5119335870e+00 4.0496264820e-03
974 3.1647959613e+02 -1.0573201914e+03 4.5091990119e+03 2.7161914767e+02 -5.3228768928e+01 -3.8926814010e+02 2212 -5.4848783603e-01 2.2001009765e-02
1068 -1.6140461206e+02 -1.0041002515e+03 4.6964329081e+03 4.0202801264e+02 9.5584150542e+01 -3.0571570370e+02 2212 -1.1503061345e+00 2.5531065643e-01
1155 2.6178945310e+02 -9.7133420392e+02 4.3951872233e+03 2.2375809079e+02 -2.6984071639e+01 -3.8200381850e+02 2212 -1.1026650302e+00 1.2268753180e-01
1459 -1.0656464836e+01 -8.9222010107e+02 4.0448462628e+03 1.5007731859e+02 -2.8749638560e+01 -3.8442000868e+02 2212 -4.4406873158e+00 3.3991431412e-01
1638 2.8517442644e+02 -9.4884810242e+02 4.1194315710e+03 2.3221205509e+02 3.9555890722e+01 -4.0640683531e+02 2212 -3.1490258728e+00 6.1897643291e-02
2014 1.1962082992e+02 -9.8705213944e+02 3.8723916378e+03 1.9451422898e+02 5.7191793369e+01 -4.1206577190e+02 2212 -1.1736355252e+00 5.0791757835e-02
2093 -3.1732122888e+01 -9.6623371892e+02 4.3092717797e+03 2.3537375054e+01 1.0130479361e+00 -4.7009459715e+02 2212 -4.9347960234e+00 4.5512746311e-03
2258 1.2094730022e+02 -1.1429495225e+03 4.8087369413e+03 3.3282815256e+02 -7.6865599877e+01 -1.9348891978e+02 2212 -4.3284512900e+00 1.0902395021e+00
2355 2.0705959953e+02 -1.0354035207e+03 4.0710309309e+03 3.0627449311e+02 1.9414895472e+01 -3.7825006509e+02 2212 -3.9852409014e+00 4.2935796220e-02
3078 1.7534321877e+02 -1.0527492545e+03 4.6540908247e+03 1.4552037505e+02 2.3340494589e+01 -1.4492724170e+02 2212 -3.7992108178e+00 4.1850180526e+01
