# EvtID pe_px[MeV/c] pe_py[MeV/c] pe_pz[MeV/c] prec_px[MeV/c] prec_py[MeV/c] prec_pz[MeV/c] pidrec zvtx[cm] weight
315 5.8113868767e+01 1.0425426726e+03 3.5369303918e+03 3.0689512781e+02 -5.4177561339e+01 -1.5108115256e+02 2212 -3.5576726084e+00 2.3184479727e+00
896 -1.6750984492e+02 1.5948693425e+03 5.2801992807e+03 3.7045580323e+02 6.9796561674e+01 -5.7990443859e+01 2212 -3.1230213523e+00 2.1072892039e-01
1480 -6.1624291851e+01 1.4808064785e+03 4.9540489394e+03 2.8722711493e+02 3.1320675004e+01 -2.3195132158e+02 2212 -5.2982479166e+00 8.0106146970e-02
2705 3.5592227065e+01 1.2801548645e+03 4.3274688110e+03 4.9072427941e+02 -1.7087243159e+02 -5.4211255666e+01 2212 -1.4307470219e+00 4.7391201420e-01
2990 -1.0768793960e+01 1.3157756054e+03 4.3545117221e+03 4.7726222792e+02 1.4266031444e+02 -1.9150469729e+02 2212 -3.1841595373e+00 5.8029117864e-02
3074 7.1749707936e+00 1.7414266554e+03 5.3749240894e+03 1.8790148541e+02 -3.3126929824e+01 -1.4452975048e+02 2212 -4.6026253172e+00 1.8270076996e-01
3076 -8.3873021461e+00 1.7021291677e+03 5.1183450898e+03 1.8722351057e+02 -2.1841280647e+01 -1.4184119486e+02 2212 -1.4628184768e+00 2.6644589253e-01
4417 -1.8594048446e+02 1.4902860262e+03 4.7753483071e+03 4.0420930942e+02 -1.4127981792e+02 -2.5543206657e+02 2212 -1.3489552233e+00 1.1693560567e-02
5140 -6.1600166645e+01 1.1917893042e+03 4.2609755179e+03 3.5863642001e+02 -1.2298838488e+01 -1.8482675162e+02 2212 -3.2626037179e+00 6.8583093372e-01
5266 -1.4566523904e+02 1.7292033259e+03 5.6666251433e+03 1.5231442440e+02 -6.5632867341e+00 -1.7021639394e+02 2212 -2.6235338238e+00 1.3385911984e-01
5719 -1.5915361458e+02 1.2694706776e+03 4.1064452090e+03 4.0300691202e+02 9.8908607429e+01 -3.1376441907e+02 2212 -1.1641457765e+00 7.2405398814e-03
6238 -1.0293149662e+01 1.4780071521e+03 5.1888666644e+03 2.2245311971e+02 -3.7342993602e+01 -2.2499890800e+02 2212 -8.2447306789e-01 3.3977501284e-01
6302 1.2369569271e+02 1.0445200474e+03 3.6768686356e+03 2.4347274738e+02 4.8337933568e+01 -3.6328734205e+02 2212 -5.2638778505e+00 6.9444612948e-02
6375 2.9119281441e+01 1.5293095444e+03 4.6671636859e+03 6.4310851279e+02 -1.7174499271e+02 -5.7535809465e+01 2212 -7.2651574342e-01 1.6699390266e-02
6684 2.5735364028e+01 1.1885758427e+03 3.9693917352e+03 2.9059884262e+02 -2.6923982488e+01 -5.5128826417e+01 2212 -1.2748392969e+00 4.9745498337e+00
6856 -1.6806635641e+02 1.1717232199e+03 3.9972379576e+03 4.3017278650e+02 -6.8039632126e+01 -2.1515340999e+02 2212 -1.3505253738e+00 2.1660846965e-01
6903 -1.0061578791e+02 1.3241777703e+03 4.4140931635e+03 5.2336233526e+02 1.0471475921e+02 -9.8839879353e+01 2212 -4.5822750877e+00 1.3842291693e-01
7348 -1.4311365444e+02 1.4017522876e+03 4.6678681415e+03 3.6666209485e+02 -6.7324977961e+01 -3.2681155624e+02 2212 -4.7434533301e+00 1.4421344211e-02
7480 -1.6746587417e+01 1.3340413378e+03 4.5878115292e+03 3.5504522519e+02 1.1856064518e+02 -1.5917445137e+02 2212 -3.0180739595e+00 2.9906794835e-01
7751 -7.5381054072e+00 1.1070680129e+03 3.7708895330e+03 5.0488467544e+02 1.4855319872e+02 -8.2639312513e+01 2212 -2.3344430416e+00 5.1200596773e-01
7768 1.7939516402e+02 1.1692019303e+03 3.8371584294e+03 3.4043272330e+02 1.8665448064e+01 -3.4653430083e+02 2212 -3.5766873225e+00 1.7313394671e-02
8088 -8.4336350269e+01 1.5312613334e+03 4.9203318039e+03 1.3258374569e+02 3.5321489553e+01 -1.8063353084e+02 2212 -4.6847714677e+00 9.0228762375e-01
8364 1.8954685472e+02 1.2030763978e+03 4.1316678981e+03 1.8649218169e+02 3.6416051215e+01 -4.2276473403e+02 2212 -3.7458559179e+00 3.0931363572e-03
8940 4.8888440476e+01 1.5144390838e+03 5.1334210136e+03 5.3857873556e+02 1.2402841245e+02 -4.4868452958e+01 2212 -3.7475426397e+00 6.0251237121e-02
9242 1.4226723811e+02 1.0660876716e+03 3.8205606388e+03 5.6961118932e+02 -1.9827960281e+01 -4.0977303534e+01 2212 -4.9036353030e+00 6.5687878774e-01
9614 -3.9240407853e+01 1.4019629636e+03 4.8158054056e+03 4.2266567923e+02 6.2648676067e+01 -1.9379003426e+02 2212 -3.9190948226e+00 8.9280921524e-02
10317 4.0704874938e+01 1.4402764689e+03 5.1322440758e+03 5.7380477445e+02 1.7587796883e+02 -3.4421548343e+01 2212 -3.6849595043e+00 7.3494936046e-02
10472 -1.5596587277e+02 1.1755195924e+03 4.0586327395e+03 4.9263629604e+02 7.4645848463e+01 -5.5262284492e+01 2212 -2.7587930830e+00 7.2168984221e-01
10844 7.8460540601e+01 1.6875999947e+03 5.1077316943e+03 1.7069154558e+02 -3.6980066707e+01 -2.3807100651e+02 2212 -3.4761474219e+00 4.6091856188e-02
12061 -3.4110857969e+01 1.0475076695e+03 3.5561214487e+03 8.0617045272e+01 -2.6871859892e+01 -3.1848743265e+02 2212 -9.9967967439e-01 5.9832201720e-01
12128 1.5113757692e+02 1.1061844671e+03 3.8311186996e+03 3.4463334577e+02 -5.5484237527e+01 -1.0008264664e+02 2212 -4.0020019335e+00 2.2580635846e+00
12515 1.1569726339e+02 1.3504616739e+03 4.3362002866e+03 3.6310171417e+02 1.1404289642e+02 -2.9744008338e+02 2212 -1.5784454492e+00 1.0991840622e-02
13458 1.2007413864e+02 1.3477361086e+03 4.6059627020e+03 3.3452148407e+02 5.8955078506e+01 -3.0362923781e+02 2212 -7.0769241848e-01 1.5976690820e-02
13553 -1.1737827278e+02 1.1682225962e+03 3.9944987079e+03 2.7520707773e+01 7.0367832596e+00 -2.8475839168e+02 2212 -4.8721948424e+00 8.6843273844e-01
13888 1.3583569460e+02 1.1913809833e+03 4.2175209252e+03 3.0674584499e+02 -3.3774419390e+01 -2.5790263368e+02 2212 -4.0046130186e+00 2.8290767089e-01
14224 8.6662139747e+01 1.1079587499e+03 3.8851862353e+03 1.1618146233e+02 -9.3508214883e+00 -4.2805990583e+02 2212 -2.2025938956e+00 1.5250507612e-02
14278 1.0044658868e+02 1.4655559254e+03 4.9800542719e+03 2.4490526383e+02 6.1292180841e+01 -1.2441830607e+02 2212 -5.3970495425e-01 9.4282201598e-01
14290 -1.4687516465e+02 1.2992742094e+03 4.5662693486e+03 2.7290458374e+02 -9.7650188387e+00 -3.1824295647e+02 2212 -2.1443476477e+00 5.8571936987e-02
16117 -6.1766812798e+00 1.1325039215e+03 3.5063106146e+03 1.1019350380e+02 -3.7841403405e+01 -4.1034541197e+02 2212 -2.0056690469e+00 1.6698963441e-02
18805 -1.8005228208e+02 1.1192617702e+03 3.5978011696e+03 2.3191046366e+02 6.6384599061e+01 -2.4639494062e+02 2212 -5.5192330340e-01 5.9052872200e-01
18968 -1.1392854053e+02 1.1059627318e+03 3.8154175913e+03 1.6667180405e+02 1.2276328696e+01 -3.2702892870e+02 2212 -1.5917044699e+00 2.5359210067e-01
20250 -7.2154017204e+00 1.2447032419e+03 4.3200085659e+03 1.2240029607e+02 1.6876356676e+01 -1.3922673307e+02 2212 -1.0963341356e+00 2.1944420236e+01
20353 5.3636988738e+01 1.1097504882e+03 3.8946117186e+03 5.7693207468e+02 -1.2354583379e+02 -8.8019375934e+01 2212 -5.1176798374e+00 3.3303021415e-01
21005 -4.7923523432e+01 1.6126717457e+03 4.8139245820e+03 1.1892507530e+02 3.7406398198e+01 -2.3762518175e+02 2212 -2.3213502748e+00 4.5497191727e-02
23533 -1.0463341014e+02 1.5780570143e+03 4.7290647768e+03 4.7281591320e+02 -3.0616542602e+01 -2.2121461417e+02 2212 -1.5523906222e+00 1.0367027870e-03
24162 8.3558014472e+01 1.4519338082e+03 4.8607837509e+03 2.3260536379e+02 8.0583127269e+01 -2.1647176486e+02 2212 -1.3181416534e+00 2.2270280994e-01
24214 -1.8352775657e+02 1.1234839510e+03 3.8312546938e+03 4.9310347933e+02 -1.0295547776e+02 -1.7147512389e+02 2212 -2.8203964543e+00 2.6435259666e-01
24677 -1.2503256866e+02 1.0521643862e+03 3.4794521200e+03 4.0387201318e+02 1.1807058257e+02 -1.6811541249e+02 2212 -3.4457856447e+00 6.0616585169e-01
25566 -1.1750994611e+02 1.4898459160e+03 4.6224096893e+03 3.1555450418e+02 -5.7977415252e+01 -2.8901530610e+02 2212 -2.6755173942e+00 1.1044142882e-02
25695 -1.3154012804e+01 1.4394776475e+03 4.4924155090e+03 4.5737872316e+02 1.4054122233e+02 -2.2845904505e+02 2212 -4.6825833800e+00 1.3940620171e-02
26230 8.2299655551e+01 1.2499842580e+03 4.2403910264e+03 5.2370206001e+02 -5.4077750680e+01 -2.5393324209e+02 2212 -5.0201050641e+00 1.7336119607e-02
26340 -1.8687531892e+02 1.3369069652e+03 4.3168263619e+03 3.9303269517e+02 5.3483611457e+01 -1.7859442372e+02 2212 -1.2878178661e+00 1.5896529273e-01
26499 1.1951890606e+02 1.3458804585e+03 4.5036386632e+03 3.2326652132e+02 4.7185664443e+01 -3.5013022179e+02 2212 -3.6983864924e+00 1.0790412412e-03
27474 1.7515548920e+02 1.2230869739e+03 4.1359724809e+03 4.5523280346e+02 -1.5416792360e+02 -2.4269734273e+02 2212 -5.1442890924e+00 5.3998180089e-02
28910 -1.2120453964e+02 1.5913826805e+03 5.2439304523e+03 1.2404088472e+02 3.4385517240e+01 -1.3731237471e+02 2212 -3.6657686247e+00 2.6436404000e+00
29349 -8.3322742719e+01 1.2954332934e+03 4.4619286138e+03 2.5616595947e+02 -7.3110274376e+01 -3.8304955536e+02 2212 -1.0106990121e+00 8.9497304783e-03
29584 1.5032435525e+02 1.2712506406e+03 4.3603628256e+03 6.4400347532e+02 -1.4306278292e+02 -1.1685113508e+01 2212 -1.8483238744e+00 1.5446786520e-01
29803 -1.6940703672e+02 1.4155377916e+03 4.6598223203e+03 4.9249208127e+02 -3.5787570880e+01 -1.2211166993e+02 2212 -5.3200527206e+00 1.1006744065e-01
30159 -1.0475041350e+02 1.5061644376e+03 4.9849915670e+03 2.9771327266e+02 -9.4237330759e-02 -1.5079596758e+02 2212 -1.3648481313e+00 2.8369240877e-01
31720 -3.4008662992e+01 1.5405886319e+03 5.3562900830e+03 9.4413252192e+01 -5.9634594651e+00 -2.3458715438e+02 2212 -2.9555741285e+00 3.4031667955e-01
32074 6.2290307003e+01 1.5197901302e+03 4.5699617730e+03 4.0916864117e+02 -3.6828515159e+01 -2.5503854419e+02 2212 -2.7248173133e+00 1.2542164617e-02
32593 1.1114360167e+01 1.2726608881e+03 4.1373525830e+03 3.4906771104e+02 -6.0771270969e+01 -2.2894280254e+02 2212 -2.7442388709e+00 1.7511267899e-01
32748 7.7273217855e+01 1.3337802818e+03 4.5807815941e+03 4.5231894236e+02 -1.5276079590e+02 -1.5999919686e+02 2212 -7.6820169063e-01 1.5895830683e-01
33250 -2.1227041623e+02 1.4935908044e+03 4.8279129371e+03 1.1273499574e+02 3.8680241471e+01 -2.9892577216e+02 2212 -3.8416988945e+00 2.7316647605e-02
33777 -7.1950311013e+01 1.3164385020e+03 4.0671812215e+03 4.0853703452e+02 1.1854653791e+02 -2.2938454819e+02 2212 -2.1139902500e+00 6.1401602968e-02
33852 2.7197007026e+01 1.2136968085e+03 4.0221927188e+03 2.7276374272e+02 -2.8123671148e+01 -1.1712872386e+02 2212 -1.3285304450e+00 2.9749676314e+00
34366 -5.8988857131e+01 1.0408524357e+03 3.6817451120e+03 1.5233145342e+02 3.8830233241e+01 -1.7063923517e+02 2212 -2.7215373779e+00 1.2198264359e+01
35037 -4.8399545517e+01 1.0248637953e+03 3.5939400265e+03 2.1987998489e+02 2.8294287372e+00 -3.7560972885e+02 2212 -4.9777662179e+00 8.0109265831e-02
35765 -3.6676235463e+01 1.4894521375e+03 4.5348575462e+03 3.9748017901e+02 -7.6934523692e+01 -4.3447855373e+01 2212 -3.6769821013e+00 3.7300755114e-01
35867 1.5467159956e+02 1.0541419942e+03 3.7359030280e+03 3.8968618749e+02 -5.0209159403e+01 -3.4930869208e+02 2212 -3.2403160837e+00 3.4838706215e-02
36119 7.4478863805e+01 1.3329472999e+03 4.3120281592e+03 3.8707545669e+02 3.6128155176e+01 -1.7283096871e+02 2212 -4.6581292870e+00 1.9176811407e-01
37520 1.4661867573e+02 1.3503008930e+03 4.1733378934e+03 2.2684882093e+02 -1.1125825432e+00 -3.0838989736e+02 2212 -2.7257538571e+00 3.9180753441e-02
37525 -1.9630102096e+02 1.3683026139e+03 4.4257629702e+03 1.4421669614e+02 -1.4864556523e+01 -2.2208206773e+02 2212 -1.9903832227e+00 7.5839194681e-01
37955 7.4942316762e+00 1.1870824506e+03 4.0902512298e+03 2.6902506049e+02 4.1896070497e+01 -2.6272039150e+02 2212 -5.1556579648e+00 3.2691626893e-01
38021 4.7223289852e+01 1.0547144520e+03 3.5118568843e+03 1.0560652982e+02 1.8589510725e+01 -1.2463123771e+02 2212 -7.9993173201e-01 6.5979802354e+01
38112 6.4540704832e+01 1.2083032915e+03 4.3533935342e+03 4.6143739068e+02 7.3612886160e+01 -2.1348252742e+02 2212 -2.2831394495e+00 1.1268513139e-01
38401 -1.8242139679e+01 1.2225329783e+03 3.8317979817e+03 1.0737546338e+02 3.3270028981e+01 -6.6368275692e+01 2212 -3.3846714681e+00 1.1319519044e+02
38549 8.8575006158e+01 1.2911979642e+03 4.2675423528e+03 2.5337470077e+02 1.5162252616e+01 -1.7138498174e+02 2212 -4.6585330130e+00 1.0967036394e+00
