# EvtID pe_px[MeV/c] pe_py[MeV/c] pe_pz[MeV/c] prec_px[MeV/c] prec_py[MeV/c] prec_pz[MeV/c] pidrec zvtx[cm] weight
0 8.2894547152e+02 0.0000000000e+00 4.3212092224e+03 6.4278760969e+01 0.0000000000e+00 -7.6604444312e+01 2212 0.0000000000e+00 1.0000000000e+00
1 8.2299238638e+02 0.0000000000e+00 4.3223469633e+03 6.4278760969e+01 0.0000000000e+00 -7.6604444312e+01 2212 0.0000000000e+00 1.0000000000e+00
2 7.3626224464e+02 0.0000000000e+00 4.3379623841e+03 6.4278760969e+01 0.0000000000e+00 -7.6604444312e+01 2212 0.0000000000e+00 1.0000000000e+00
3 7.0813244858e+02 0.0000000000e+00 4.3426429941e+03 6.4278760969e+01 0.0000000000e+00 -7.6604444312e+01 2212 0.0000000000e+00 1.0000000000e+00
4 7.1619738814e+02 0.0000000000e+00 4.3413201955e+03 6.4278760969e+01 0.0000000000e+00 -7.6604444312e+01 2212 0.0000000000e+00 1.0000000000e+00
5 6.9434241430e+02 0.0000000000e+00 4.3448691983e+03 6.4278760969e+01 0.0000000000e+00 -7.6604444312e+01 2212 0.0000000000e+00 1.0000000000e+00
6 7.1932522356e+02 0.0000000000e+00 4.3408030319e+03 6.4278760969e+01 0.0000000000e+00 -7.6604444312e+01 2212 0.0000000000e+00 1.0000000000e+00
7 8.1337660281e+02 0.0000000000e+00 4.3241667684e+03 6.4278760969e+01 0.0000000000e+00 -7.6604444312e+01 2212 0.0000000000e+00 1.0000000000e+00
8 7.7429362227e+02 0.0000000000e+00 4.3313357207e+03 6.4278760969e+01 0.0000000000e+00 -7.6604444312e+01 2212 0.0000000000e+00 1.0000000000e+00
9 7.6890346145e+02 0.0000000000e+00 4.3322958354e+03 6.4278760969e+01 0.0000000000e+00 -7.6604444312e+01 2212 0.0000000000e+00 1.0000000000e+00
10 7.7849937288e+02 0.0000000000e+00 4.3305817698e+03 6.4278760969e+01 0.0000000000e+00 -7.6604444312e+01 2212 0.0000000000e+00 1.0000000000e+00
11 8.3297158127e+02 0.0000000000e+00 4.3204349415e+03 6.4278760969e+01 0.0000000000e+00 -7.6604444312e+01 2212 0.0000000000e+00 1.0000000000e+00
12 8.3420888819e+02 0.0000000000e+00 4.3201962073e+03 6.4278760969e+01 0.0000000000e+00 -7.6604444312e+01 2212 0.0000000000e+00 1.0000000000e+00
13 7.5829244390e+02 0.0000000000e+00 4.3341656992e+03 6.4278760969e+01 0.0000000000e+00 -7.6604444312e+01 2212 0.0000000000e+00 1.0000000000e+00
14 7.8720983975e+02 0.0000000000e+00 4.3290068615e+03 6.4278760969e+01 0.0000000000e+00 -7.6604444312e+01 2212 0.0000000000e+00 1.0000000000e+00
15 8.2805883477e+02 0.0000000000e+00 4.3213792133e+03 6.4278760969e+01 0.0000000000e+00 -7.6604444312e+01 2212 0.0000000000e+00 1.0000000000e+00
16 8.0167118963e+02 0.0000000000e+00 4.3263521635e+03 6.4278760969e+01 0.0000000000e+00 -7.6604444312e+01 2212 0.0000000000e+00 1.0000000000e+00
17 7.4497450938e+02 0.0000000000e+00 4.3364746880e+03 6.4278760969e+01 0.0000000000e+00 -7.6604444312e+01 2212 0.0000000000e+00 1.0000000000e+00
18 7.8726919281e+02 0.0000000000e+00 4.3289960680e+03 6.4278760969e+01 0.0000000000e+00 -7.6604444312e+01 2212 0.0000000000e+00 1.0000000000e+00
19 7.1181060962e+02 0.0000000000e+00 4.3420416160e+03 6.4278760969e+01 0.0000000000e+00 -7.6604444312e+01 2212 0.0000000000e+00 1.0000000000e+00
20 8.0149120086e+02 0.0000000000e+00 4.3263855115e+03 6.4278760969e+01 0.0000000000e+00 -7.6604444312e+01 2212 0.0000000000e+00 1.0000000000e+00
